WshedID,BASINID,Ditch_ID,AreaM2,CellCount,RainMeanMM,RainSumMM,AB_Sum,AS_Sum,ES_Sum,LC_Sum,MG_Sum,NG_Sum,SH_Sum,SS_Sum,,AB_E,AS_E,ES_E,LC_E,MG_E,NG_E,SH_E,SS_E
24,152,,282700,2827,3875,10955600,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
24,153,,143100,1431,4086,5846520,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
24,154,,11000,110,3955,435044,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
24,155,,28800,288,4292,1236080,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
24,156,,130100,1301,4528,5890420,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
25,157,,568200,5682,2958,16804500,717,329,0,926,2,331,0,164,,717,329,0,926,2,331,0,164
25,158,,69700,697,3412,2378230,74,30,0,119,0,30,0,12,,74,30,0,119,0,30,0,12
25,159,,839200,8392,3812,31989000,904,282,0,1156,0,175,0,102,,904,282,0,1156,0,175,0,102
25,160,,306400,3064,4322,13243800,507,50,0,305,0,27,0,19,,507,50,0,305,0,27,0,19
25,161,,11500,115,4396,505555,34,2,0,17,0,1,0,1,,34,2,0,17,0,1,0,1
25,162,,581600,5816,3996,23243000,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
25,163,,24200,242,4335,1049180,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
25,164,,30500,305,4326,1319410,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
25,165,,38100,381,4422,1684660,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
25,166,,75200,752,4458,3352510,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
25,167,,5936100,59361,5555,329763000,12327,64,0,3476,0,31,0,11,,12327,64,0,3476,0,31,0,11
26,168,,300600,3006,2821,8479260,575,227,0,670,3,226,0,126,,575,227,0,670,3,226,0,126
26,169,,11600,116,3067,355748,33,11,0,39,0,12,0,5,,33,11,0,39,0,12,0,5
26,170,,103200,1032,3193,3294960,149,51,0,210,0,58,0,21,,149,51,0,210,0,58,0,21
26,171,,797100,7971,3781,30140800,1107,261,0,1230,0,168,0,98,,1107,261,0,1230,0,168,0,98
26,172,,44400,444,4334,1924340,90,5,0,42,0,3,0,2,,90,5,0,42,0,3,0,2
26,173,,25000,250,4319,1079770,133,9,0,70,0,5,0,3,,133,9,0,70,0,5,0,3
26,174,,2619500,26195,5184,135783000,1280,25,0,529,0,11,0,1,,1280,25,0,529,0,11,0,1
26,175,,9361700,93617,4353,407511000,5096,33,0,1123,0,15,0,4,,5096,33,0,1123,0,15,0,4
27,176,,683000,6830,2910,19878600,103,164,3,206,27,144,0,163,,103,164,3,206,27,144,0,163
27,177,,578900,5789,3684,21325500,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
27,178,,215500,2155,4294,9254110,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
28,179,,232300,2323,2577,5985450,130,250,20,184,45,232,3,291,,130,250,20,184,45,232,3,291
28,180,,262800,2628,2922,7677970,239,120,0,508,0,189,0,56,,239,120,0,508,0,189,0,56
28,181,,863000,8630,3678,31741000,952,274,0,1458,0,213,0,106,,952,274,0,1458,0,213,0,106
28,182,,7800,78,4081,318282,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
28,183,,18300,183,4137,757145,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
28,184,,157100,1571,4248,6674200,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
28,185,,22800,228,4223,962906,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
28,186,,48600,486,4280,2080240,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
28,187,,50100,501,4218,2113200,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
28,188,,1234300,12343,4704,58067000,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
29,189,,679100,6791,2545,17280400,553,525,22,850,72,532,8,440,,553,525,22,850,72,532,8,440
29,190,,145900,1459,2820,4114500,212,111,0,334,0,154,0,58,,212,111,0,334,0,154,0,58
29,191,,49800,498,3010,1498960,3,1,0,4,0,2,0,1,,3,1,0,4,0,2,0,1
29,192,,537200,5372,3567,19162600,400,158,0,609,0,124,0,71,,400,158,0,609,0,124,0,71
29,193,,32800,328,3954,1296870,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
29,194,,334400,3344,2920,9765380,386,202,0,595,0,277,0,107,,386,202,0,595,0,277,0,107
29,195,,20000,200,3088,617613,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
29,196,,24300,243,3101,753596,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
29,197,,185400,1854,3311,6137930,377,143,0,546,0,102,0,66,,377,143,0,546,0,102,0,66
29,198,,310300,3103,3589,11136400,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
29,199,,54700,547,3949,2160190,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
29,200,,429800,4298,3522,15136900,729,205,0,865,0,163,0,92,,729,205,0,865,0,163,0,92
29,201,,11200,112,4008,448843,43,3,0,25,0,3,0,2,,43,3,0,25,0,3,0,2
29,202,,932500,9325,4687,43701800,357,19,0,188,0,12,0,9,,357,19,0,188,0,12,0,9
30,203,,840900,8409,2395,20138600,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
31,204,,336100,3361,2341,7867010,151,49,0,189,0,41,0,28,,151,49,0,189,0,41,0,28
31,205,,284300,2843,2748,7812280,160,46,0,218,0,40,0,20,,160,46,0,218,0,40,0,20
31,206, ,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0
31,207,,157100,1571,3026,4753600,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
31,208,,548800,5488,3430,18822100,474,84,0,529,0,40,0,31,,474,84,0,529,0,40,0,31
31,209,,2000,20,3996,79921,7,0,0,4,0,0,0,0,,7,0,0,4,0,0,0,0
31,210,,201100,2011,4227,8500140,205,7,0,100,0,3,0,2,,205,7,0,100,0,3,0,2
